driverId,grid,positionOrder,Count
1,1,1,59
1,1,2,14
1,1,3,10
1,1,4,1
1,1,5,3
1,1,6,1
1,1,7,1
1,1,9,1
1,1,12,2
1,1,18,1
1,1,19,4
1,1,20,1
1,1,21,2
1,1,24,1
1,2,1,27
1,2,2,19
1,2,3,5
1,2,4,4
1,2,5,2
1,2,7,1
1,2,8,2
1,2,12,1
1,2,15,1
1,2,16,1
1,2,17,1
1,2,19,2
1,2,22,1
1,3,1,7
1,3,2,4
1,3,3,5
1,3,4,3
1,3,5,3
1,3,6,1
1,3,7,1
1,3,9,1
1,3,10,1
1,3,13,1
1,3,14,1
1,3,19,1
1,3,20,1
1,4,1,2
1,4,2,4
1,4,3,4
1,4,4,7
1,4,5,4
1,4,7,1
1,4,22,1
1,5,1,1
1,5,2,1
1,5,3,1
1,5,4,3
1,5,5,2
1,5,7,1
1,5,9,1
1,5,18,2
1,5,20,1
1,5,23,1
1,5,24,1
1,6,1,2
1,6,2,1
1,6,4,1
1,7,3,1
1,7,7,1
1,7,23,1
1,7,24,1
1,8,4,1
1,8,5,1
1,8,8,1
1,9,2,1
1,9,3,1
1,9,5,3
1,9,6,2
1,10,2,1
1,10,4,1
1,10,5,1
1,10,9,1
1,11,6,1
1,12,7,1
1,12,9,1
1,12,19,1
1,13,7,1
1,13,10,1
1,14,1,1
1,14,9,1
1,15,7,1
1,16,13,1
1,17,3,1
1,18,16,1
1,18,20,1
1,19,12,1
1,20,3,1
1,20,4,1
1,20,6,1
1,21,3,1
1,22,3,1
1,22,7,1
1,24,8,1
2,1,2,1
2,2,3,1
2,3,2,1
2,3,4,1
2,3,5,1
2,3,8,1
2,4,4,1
2,4,6,2
2,4,15,1
2,4,16,1
2,5,2,3
2,5,4,2
2,5,6,1
2,5,14,2
2,5,16,1
2,5,18,1
2,6,2,1
2,6,3,1
2,6,4,2
2,6,5,1
2,6,6,2
2,6,8,1
2,6,9,1
2,6,18,1
2,7,5,2
2,7,6,2
2,7,10,1
2,7,11,1
2,7,12,1
2,7,15,2
2,7,19,1
2,7,21,1
2,8,2,1
2,8,4,2
2,8,5,1
2,8,6,1
2,8,7,2
2,8,9,2
2,8,10,1
2,8,11,1
2,8,17,1
2,9,3,1
2,9,5,2
2,9,6,4
2,9,7,3
2,9,8,1
2,9,9,1
2,9,10,2
2,9,14,1
2,9,20,1
2,10,2,1
2,10,3,2
2,10,4,1
2,10,5,1
2,10,6,3
2,10,7,1
2,10,8,1
2,10,9,2
2,10,12,1
2,10,17,2
2,10,19,1
2,11,8,2
2,11,9,2
2,11,10,2
2,11,11,2
2,11,12,1
2,11,13,1
2,11,15,1
2,11,17,1
2,11,20,1
2,11,24,1
2,12,4,1
2,12,6,1
2,12,7,2
2,12,14,1
2,12,15,1
2,12,20,1
2,13,5,1
2,13,7,2
2,13,9,1
2,13,10,2
2,13,12,1
2,13,14,1
2,13,15,1
2,14,10,1
2,14,11,2
2,14,12,1
2,14,13,1
2,14,14,1
2,14,18,2
2,14,19,1
2,14,20,1
2,14,23,1
2,15,7,2
2,15,8,3
2,15,9,1
2,15,10,3
2,15,11,1
2,15,13,2
2,15,15,2
2,15,16,1
2,15,17,2
2,15,18,2
2,15,19,1
2,16,8,1
2,16,9,3
2,16,11,2
2,16,12,4
2,16,13,1
2,16,17,2
2,16,18,1
2,16,19,1
2,16,22,1
2,17,7,1
2,17,10,1
2,17,16,1
2,17,18,1
2,18,8,1
2,18,10,1
2,18,12,1
2,18,15,1
2,18,17,1
2,18,18,1
2,19,16,1
2,19,19,1
2,19,21,2
2,20,8,1
2,20,13,1
2,20,14,1
2,20,19,1
2,21,20,1
2,22,19,1
2,24,8,1
3,1,1,15
3,1,2,8
3,1,4,2
3,1,6,1
3,1,9,1
3,1,14,1
3,1,18,2
3,2,1,6
3,2,2,14
3,2,3,3
