driverId,fullname,totalAvgPositionChange_d,constructorId,name_y,totalAvgPositionChange_c
1,Lewis Hamilton,-1.0573476702508962,1.0,McLaren,-1.8330578512396694
2,Nick Heidfeld,0.6141304347826086,2.0,BMW Sauber,0.014285714285714285
3,Nico Rosberg,-1.3495145631067962,3.0,Williams,-1.6745867768595042
4,Fernando Alonso,0.2966360856269113,4.0,Renault,-0.8728323699421965
5,Heikki Kovalainen,0.45535714285714285,5.0,Toro Rosso,0.18448637316561844
8,Kimi Räikkönen,-0.8064516129032258,6.0,Ferrari,-1.4127659574468086
9,Robert Kubica,-0.6,7.0,Toyota,-1.0952380952380953
10,Timo Glock,2.0425531914893615,9.0,Red Bull,-1.1934865900383143
13,Felipe Massa,-0.4758364312267658,10.0,Force India,0.15736040609137056
15,Jarno Trulli,-1.95703125,11.0,Honda,-0.08661417322834646
16,Adrian Sutil,0.2734375,12.0,Spyker,3.176470588235294
17,Mark Webber,-1.5253456221198156,15.0,Sauber,0.5498981670061099
18,Jenson Button,0.3106796116504854,16.0,BAR,-0.9022556390977443
20,Sebastian Vettel,-0.9555555555555556,17.0,Jordan,-1.930232558139535
22,Rubens Barrichello,-1.3723076923076922,18.0,Minardi,4.463414634146342
24,Vitantonio Liuzzi,0.9375,19.0,Jaguar,-0.453125
30,Michael Schumacher,-2.012987012987013,20.0,Prost,-0.21818181818181817
35,Jacques Villeneuve,-1.1151515151515152,21.0,Arrows,0.7254901960784313
37,Pedro de la Rosa,1.009433962264151,22.0,Benetton,-1.6324786324786325
39,Narain Karthikeyan,2.1956521739130435,23.0,Brawn,0.23529411764705882
57,Mika Häkkinen,-2.5153374233128836,24.0,Stewart,-2.9591836734693877
67,Sébastien Buemi,0.2,25.0,Tyrrell,-2.152941176470588
71,Damon Hill,-2.8189655172413794,26.0,Lola,2.9565217391304346
95,Nigel Mansell,-4.48404255319149,32.0,Team Lotus,-1.8224299065420562
102,Ayrton Senna,-4.987577639751553,34.0,Brabham,-3.337579617834395
117,Alain Prost,-3.2587064676616917,37.0,March,0.8611111111111112
137,Nelson Piquet,-3.0686274509803924,51.0,Alfa Romeo,0.06293706293706294
153,Jaime Alguersuari,1.2608695652173914,53.0,Toleman,-2.857142857142857
154,Romain Grosjean,-1.2905027932960893,54.0,ATS,3.0
155,Kamui Kobayashi,0.2631578947368421,55.0,Theodore,1.0
177,Keke Rosberg,-1.6228070175438596,56.0,Fittipaldi,2.797872340425532
178,Alan Jones,0.08547008547008547,57.0,Ensign,5.0
182,Niki Lauda,-2.308139534883721,58.0,Shadow,3.6923076923076925
207,Mario Andretti,-3.890625,59.0,Wolf,-1.88
222,Jody Scheckter,-1.1875,63.0,Surtees,2.9393939393939394
224,Emerson Fittipaldi,1.2137931034482758,64.0,Hesketh,-3.5483870967741935
231,James Hunt,-4.391304347826087,66.0,BRM,-3.211864406779661
289,Graham Hill,0.36363636363636365,73.0,Parnelli,-2.1875
304,Denny Hulme,-0.9553571428571429,75.0,Embassy Hill,10.5
328,Jackie Stewart,-2.91,87.0,Cooper,1.8571428571428572
341,John Surtees,-2.6785714285714284,105.0,Maserati,-1.3703703703703705
356,Jack Brabham,-1.703125,117.0,Aston Martin,0.4
358,Jochen Rindt,-3.216666666666667,118.0,Vanwall,-4.333333333333333
373,Jim Clark,-3.493150684931507,131.0,Mercedes,-1.202991452991453
403,Phil Hill,0.8958333333333334,132.0,Lancia,-13.333333333333334
578,Mike Hawthorn,-1.0,164.0,HRT,2.764705882352941
579,Juan Fangio,-2.310344827586207,166.0,Virgin,2.0526315789473686
642,Nino Farina,-2.6486486486486487,167.0,Cooper-Maserati,-2.923076923076923
647,Alberto Ascari,-3.861111111111111,170.0,Cooper-Climax,-1.9411764705882353
807,Nico Hülkenberg,-1.2154696132596685,172.0,Lotus-Climax,-3.169491525423729
808,Vitaly Petrov,0.2413793103448276,176.0,Lotus-BRM,-4.571428571428571
811,Bruno Senna,1.2173913043478262,180.0,Lotus-Ford,-3.515625
812,Karun Chandhok,4.818181818181818,181.0,Brabham-BRM,3.0
813,Pastor Maldonado,-0.84375,182.0,Brabham-Ford,-2.6
814,Paul di Resta,0.2711864406779661,183.0,Brabham-Climax,-2.84
815,Sergio Pérez,0.5671641791044776,187.0,McLaren-Ford,-0.05555555555555555
816,Jérôme d'Ambrosio,3.2,191.0,Brabham-Repco,-1.9180327868852458
817,Daniel Ricciardo,-0.15,194.0,McLaren-BRM,4.0
818,Jean-Éric Vergne,0.08620689655172414,196.0,Matra-Ford,-0.9047619047619048
819,Charles Pic,2.5384615384615383,200.0,March-Ford,4.0
820,Max Chilton,2.4,201.0,Lotus-Pratt &amp; Whitney,10.0
821,Esteban Gutiérrez,0.2033898305084746,204.0,Brabham-Alfa Romeo,-6.653846153846154
822,Valtteri Bottas,-0.9408284023668639,205.0,Lotus,0.8026315789473685
823,Giedo van der Garde,1.3157894736842106,206.0,Marussia,2.388888888888889
824,Jules Bianchi,1.7058823529411764,207.0,Caterham,1.7678571428571428
825,Kevin Magnussen,-0.059322033898305086,208.0,Lotus F1,-0.4935064935064935
826,Daniil Kvyat,-0.10810810810810811,209.0,Manor Marussia,1.7142857142857142
827,André Lotterer,-1.0,210.0,Haas F1 Team,-0.481981981981982
828,Marcus Ericsson,1.9175257731958764,211.0,Racing Point,0.8266666666666667
829,Will Stevens,1.2777777777777777,213.0,AlphaTauri,0.05084745762711865
830,Max Verstappen,-1.3206106870229009,214.0,Alpine F1 Team,0.3076923076923077
831,Felipe Nasr,2.230769230769231,,,
832,Carlos Sainz,-0.1450381679389313,,,
833,Roberto Merhi,2.5384615384615383,,,
834,Alexander Rossi,2.4,,,
835,Jolyon Palmer,1.054054054054054,,,
836,Pascal Wehrlein,1.2564102564102564,,,
837,Rio Haryanto,1.1666666666666667,,,
838,Stoffel Vandoorne,2.0,,,
839,Esteban Ocon,0.1,,,
840,Lance Stroll,1.2747252747252746,,,
841,Antonio Giovinazzi,0.8461538461538461,,,
842,Pierre Gasly,0.10526315789473684,,,
843,Brendon Hartley,1.0833333333333333,,,
844,Charles Leclerc,-1.1805555555555556,,,
845,Sergey Sirotkin,0.7619047619047619,,,
846,Lando Norris,-0.43137254901960786,,,
847,George Russell,0.20408163265306123,,,
848,Alexander Albon,-0.08333333333333333,,,
849,Nicholas Latifi,2.1785714285714284,,,
850,Pietro Fittipaldi,0.5,,,
851,Jack Aitken,1.0,,,
852,Yuki Tsunoda,1.25,,,
853,Nikita Mazepin,1.2307692307692308,,,
854,Mick Schumacher,1.5384615384615385,,,
