driverId,fullname,totalAvgPositionChange
1,Lewis Hamilton,-1.0573476702508962
2,Nick Heidfeld,0.6141304347826086
3,Nico Rosberg,-1.3495145631067962
4,Fernando Alonso,0.2966360856269113
5,Heikki Kovalainen,0.45535714285714285
8,Kimi Räikkönen,-0.8064516129032258
9,Robert Kubica,-0.6
10,Timo Glock,2.0425531914893615
13,Felipe Massa,-0.4758364312267658
15,Jarno Trulli,-1.95703125
16,Adrian Sutil,0.2734375
17,Mark Webber,-1.5253456221198156
18,Jenson Button,0.3106796116504854
20,Sebastian Vettel,-0.9555555555555556
22,Rubens Barrichello,-1.3723076923076922
24,Vitantonio Liuzzi,0.9375
30,Michael Schumacher,-2.012987012987013
35,Jacques Villeneuve,-1.1151515151515152
37,Pedro de la Rosa,1.009433962264151
39,Narain Karthikeyan,2.1956521739130435
57,Mika Häkkinen,-2.5153374233128836
67,Sébastien Buemi,0.2
71,Damon Hill,-2.8189655172413794
95,Nigel Mansell,-4.48404255319149
102,Ayrton Senna,-4.987577639751553
117,Alain Prost,-3.2587064676616917
137,Nelson Piquet,-3.0686274509803924
153,Jaime Alguersuari,1.2608695652173914
154,Romain Grosjean,-1.2905027932960893
155,Kamui Kobayashi,0.2631578947368421
177,Keke Rosberg,-1.6228070175438596
178,Alan Jones,0.08547008547008547
182,Niki Lauda,-2.308139534883721
207,Mario Andretti,-3.890625
222,Jody Scheckter,-1.1875
224,Emerson Fittipaldi,1.2137931034482758
231,James Hunt,-4.391304347826087
289,Graham Hill,0.36363636363636365
304,Denny Hulme,-0.9553571428571429
328,Jackie Stewart,-2.91
341,John Surtees,-2.6785714285714284
356,Jack Brabham,-1.703125
358,Jochen Rindt,-3.216666666666667
373,Jim Clark,-3.493150684931507
403,Phil Hill,0.8958333333333334
578,Mike Hawthorn,-1.0
579,Juan Fangio,-2.310344827586207
642,Nino Farina,-2.6486486486486487
647,Alberto Ascari,-3.861111111111111
807,Nico Hülkenberg,-1.2154696132596685
808,Vitaly Petrov,0.2413793103448276
811,Bruno Senna,1.2173913043478262
812,Karun Chandhok,4.818181818181818
813,Pastor Maldonado,-0.84375
814,Paul di Resta,0.2711864406779661
815,Sergio Pérez,0.5671641791044776
816,Jérôme d'Ambrosio,3.2
817,Daniel Ricciardo,-0.15
818,Jean-Éric Vergne,0.08620689655172414
819,Charles Pic,2.5384615384615383
820,Max Chilton,2.4
821,Esteban Gutiérrez,0.2033898305084746
822,Valtteri Bottas,-0.9408284023668639
823,Giedo van der Garde,1.3157894736842106
824,Jules Bianchi,1.7058823529411764
825,Kevin Magnussen,-0.059322033898305086
826,Daniil Kvyat,-0.10810810810810811
827,André Lotterer,-1.0
828,Marcus Ericsson,1.9175257731958764
829,Will Stevens,1.2777777777777777
830,Max Verstappen,-1.3206106870229009
831,Felipe Nasr,2.230769230769231
832,Carlos Sainz,-0.1450381679389313
833,Roberto Merhi,2.5384615384615383
834,Alexander Rossi,2.4
835,Jolyon Palmer,1.054054054054054
836,Pascal Wehrlein,1.2564102564102564
837,Rio Haryanto,1.1666666666666667
838,Stoffel Vandoorne,2.0
839,Esteban Ocon,0.1
840,Lance Stroll,1.2747252747252746
841,Antonio Giovinazzi,0.8461538461538461
842,Pierre Gasly,0.10526315789473684
843,Brendon Hartley,1.0833333333333333
844,Charles Leclerc,-1.1805555555555556
845,Sergey Sirotkin,0.7619047619047619
846,Lando Norris,-0.43137254901960786
847,George Russell,0.20408163265306123
848,Alexander Albon,-0.08333333333333333
849,Nicholas Latifi,2.1785714285714284
850,Pietro Fittipaldi,0.5
851,Jack Aitken,1.0
852,Yuki Tsunoda,1.25
853,Nikita Mazepin,1.2307692307692308
854,Mick Schumacher,1.5384615384615385
